R,G,B,label
252,127,156,red
110,21,20,red
255,129,159,red
98,20,19,red
125,43,55,red
199,127,152,red
248,125,156,red
254,129,160,red
231,123,139,red
118,22,26,red
255,146,178,red
117,23,26,red
117,35,43,red
255,137,163,red
255,132,161,red
108,18,22,red
116,26,30,red
123,38,44,red
116,21,24,red
111,21,19,red
107,22,23,red
120,24,29,red
118,24,24,red
105,24,20,red
117,35,44,red
119,25,27,red
255,141,174,red
253,125,152,red
245,122,149,red
115,21,18,red
111,18,17,red
108,21,23,red
100,20,22,red
120,36,48,red
121,29,36,red
121,22,25,red
110,21,20,red
100,20,21,red
99,22,24,red
118,23,24,red
121,27,26,red
249,122,149,red
115,187,237,blue
104,194,238,blue
119,192,232,blue
97,124,138,blue
100,132,150,blue
122,181,219,blue
115,199,245,blue
136,186,234,blue
120,171,213,blue
90,135,175,blue
96,199,254,blue
99,179,227,blue
108,192,239,blue
116,195,236,blue
127,207,246,blue
97,165,223,blue
116,192,228,blue
107,190,240,blue
104,201,246,blue
109,174,225,blue
101,152,189,blue
94,159,200,blue
99,198,243,blue
104,196,242,blue
123,204,255,blue
117,163,213,blue
97,194,238,blue
125,186,224,blue
125,208,251,blue
110,169,217,blue
47,128,146,green
30,92,111,green
32,99,120,green
31,93,110,green
30,85,97,green
29,93,111,green
19,31,33,green
48,119,140,green
41,109,129,green
41,106,123,green
20,44,50,green
10,17,16,green
50,119,135,green
24,70,79,green
10,38,40,green
46,123,143,green
36,118,134,green
22,72,83,green
47,117,139,green
67,120,136,green
28,79,89,green
24,91,111,green
27,80,100,green
19,49,54,green
28,90,107,green
27,73,82,green
21,68,84,green
27,102,118,green
16,26,26,green
30,48,49,green
43,77,83,green
34,92,98,green
17,17,18,green
18,12,5,green
29,21,10,green
13,12,6,green
31,68,77,green
43,99,119,green
21,41,51,green
28,45,54,green
255,255,187,yellow
255,255,221,yellow
255,254,212,yellow
255,254,181,yellow
255,253,193,yellow
150,123,73,yellow
146,121,57,yellow
255,252,188,yellow
255,255,195,yellow
255,251,177,yellow
255,251,178,yellow
255,255,216,yellow
255,255,210,yellow
255,249,176,yellow
255,254,198,yellow
255,254,213,yellow
255,248,182,yellow
255,232,170,yellow
255,255,203,yellow
246,214,151,yellow
255,255,211,yellow
255,253,194,yellow
255,253,194,yellow
255,255,187,yellow
255,253,193,yellow
255,237,173,yellow
255,254,204,yellow
255,255,223,yellow
239,208,146,yellow
255,254,191,yellow
7,5,0,yellow
5,1,0,yellow
17,14,4,black
12,6,0,black
10,8,0,black
11,3,0,black
8,3,0,black
9,0,0,black
6,1,0,black
6,5,0,black
8,8,0,black
15,13,6,black
27,27,16,black
25,22,13,black
16,13,1,black
9,8,0,black
11,6,0,black
8,4,0,black
7,3,0,black
8,4,0,black
9,6,0,black
13,14,7,black
16,14,7,black
47,40,28,black
32,25,12,black
12,10,0,black
12,6,0,black
8,5,0,black
8,2,0,black
6,1,0,black
6,2,0,black
9,7,0,black
121,136,149,white
137,155,171,white
68,117,137,white
235,255,255,white
255,253,255,white
255,255,255,white
255,255,255,white
143,172,187,white
134,148,161,white
102,103,109,white
154,186,203,white
143,169,187,white
195,221,240,white
184,216,233,white
143,170,188,white
128,161,180,white
144,173,192,white
137,163,179,white
185,218,239,white
147,181,195,white
181,212,231,white
247,254,255,white
143,163,181,white
166,198,217,white
118,138,152,white
147,170,190,white
169,199,216,white
143,169,183,white
199,228,243,white
192,228,252,white
149,181,197,white
253,255,255,white
255,254,255,white
174,205,215,white
196,227,246,white
100,98,102,white
101,101,101,white
94,96,95,white
86,83,72,white
124,142,148,white
81,82,89,gray
112,118,127,gray
92,107,117,gray
88,99,105,gray
172,201,226,gray
173,202,220,gray
104,116,122,gray
108,128,139,gray
123,144,160,gray
78,81,83,gray
81,81,84,gray
86,86,88,gray
89,87,86,gray
92,91,94,gray
160,182,196,gray
93,98,109,gray
105,120,136,gray
140,165,184,gray
145,176,193,gray
108,120,129,gray
103,117,126,gray
96,100,103,gray
95,104,112,gray
114,132,144,gray
94,99,103,gray
90,101,110,gray
159,183,199,gray
109,114,120,gray
108,130,140,gray
150,174,194,gray
92,106,112,gray
95,102,114,gray
110,127,137,gray
123,140,149,gray
80,82,91,gray
79,79,81,gray
80,80,82,gray
91,89,89,gray
110,124,136,gray
95,106,113,gray
158,186,210,gray
142,167,186,gray
168,202,226,gray
